Y,EAR,MAR
10,0.26,22
0,0.4,3.33
10,0.22,23.67
0,0.38,4.67
10,0.25,23.83
0,0.38,4.67
10,0.25,23.83
0,0.46,3.83
10,0.23,23.33
10,0.23,22.83
10,0.23,22.83
10,0.23,22.83
10,0.21,25.17
5,0.3,6.17
10,0.22,26.67
5,0.3,6.17
10,0.22,26.67
5,0.3,6.17
10,0.22,26.67
5,0.34,5
10,0.21,25.83
5,0.34,5
10,0.21,25.83
10,0.14,21.5
10,0.14,21.5
0,0.42,3.67
10,0.17,24.67
0,0.45,4.17
10,0.14,24.5
0,0.45,3.67
5,0.32,5.5
10,0.16,22.83
5,0.35,3.5
10,0.14,21.5
5,0.32,7.17
5,0.26,9.17
5,0.26,8.33
5,0.26,8.33
5,0.26,8.33
5,0.26,8.33
5,0.28,8.33
5,0.28,8.33
5,0.27,8.33
5,0.33,7.5
5,0.33,7.5
5,0.33,8.67
5,0.36,7.17
5,0.34,7.83
5,0.34,7.83
0,0.36,7.17
5,0.33,8.33
5,0.33,8.33
5,0.33,8.33
5,0.33,8.33
5,0.33,8.33
5,0.32,8.17
5,0.32,8.17
5,0.3,8.5
5,0.33,7.67
5,0.3,8.67
5,0.28,9.83
5,0.32,8.83
5,0.31,9.5
5,0.28,9.5
5,0.29,8.67
5,0.29,9.5
5,0.26,9.83
5,0.23,10.67
5,0.25,9.5
5,0.25,9.5
5,0.27,10
5,0.27,10
5,0.31,9.33
5,0.32,9.67
5,0.26,9.83
5,0.26,9.83
0,0.4,4.33
5,0.28,9.83
0,0.4,4.33
5,0.28,9.83
5,0.29,5.17
5,0.26,9.67
5,0.29,5.17
5,0.26,9.67
5,0.29,10.83
5,0.29,10.83
5,0.29,10.83
5,0.29,7.17
5,0.29,7.17
5,0.29,7.17
5,0.27,10.67
5,0.26,16
5,0.26,16
5,0.27,18.67
5,0.27,18.67
10,0.25,20.67
10,0.22,24.33
10,0.22,24.33
10,0.21,23.33
0,0.43,4.33
10,0.2,20.17
0,0.38,4.17
5,0.27,18.17
0,0.38,4.17
5,0.27,18.17
5,0.29,17.33
5,0.29,17.33
0,0.45,3.83
5,0.29,15.67
5,0.31,19
5,0.31,19
5,0.29,4.33
5,0.29,16
5,0.35,4.17
5,0.31,15.5
5,0.35,4.17
5,0.31,15.5
5,0.35,5
5,0.32,18.17
0,0.37,3.5
10,0.31,20.17
0,0.37,3.5
10,0.31,20.17
10,0.32,21
10,0.32,21
10,0.32,23.33
0,0.36,5.5
10,0.31,23.5
0,0.36,5.5
10,0.31,23.5
5,0.32,5.33
10,0.3,23.5
10,0.31,23.83
10,0.31,23.83
0,0.42,4.17
10,0.31,20.67
10,0.28,24.5
0,0.49,3
10,0.31,23
0,0.49,3
10,0.31,23
5,0.35,4.83
10,0.29,24.5
5,0.35,4.83
10,0.29,24.5
5,0.34,5.17
10,0.3,24.67
0,0.38,4.33
10,0.32,25.5
0,0.38,4.33
10,0.32,25.5
0,0.44,4.83
10,0.29,24
0,0.38,4.67
10,0.29,23
10,0.3,23
0,0.36,5.17
10,0.23,25
5,0.35,5.5
10,0.24,24.17
5,0.35,5.5
10,0.24,24.17
10,0.26,23.5
5,0.32,5.33
10,0.28,23.17
5,0.32,5.33
10,0.28,23.17
10,0.28,24.67
5,0.32,4.17
10,0.29,25.67
5,0.32,4.17
10,0.29,25.67
0,0.39,5.17
10,0.25,20
0,0.36,5.17
5,0.26,17.83
0,0.4,3.33
5,0.27,13.5
0,0.4,3.33
5,0.27,13.5
0,0.41,3.67
10,0.18,4.17
10,0.18,4.17
10,0.24,3.83
5,0.35,4.5
0,0.36,5
0,0.36,5
0,0.36,4.33
0,0.36,4.33
10,0.17,10.5
10,0.23,9.83
5,0.25,9.67
5,0.25,9.67
10,0.21,9.83
10,0.21,9.83
10,0.21,9.83
5,0.25,10.83
5,0.25,10.83
5,0.25,10.83
10,0.23,11.5
10,0.23,11.5
10,0.23,11.5
10,0.18,11
10,0.18,11
10,0.23,10.5
10,0.23,10.5
10,0.23,10.5
10,0.21,10
10,0.21,10
5,0.26,8.67
5,0.26,8.67
5,0.26,8.67
5,0.26,8.67
10,0.2,10.33
10,0.2,10.33
10,0.2,10.33
10,0.2,10.33
10,0.22,10.67
10,0.22,10.67
10,0.22,10.67
10,0.23,9.83
10,0.23,9.83
10,0.23,9.83
10,0.24,10.83
10,0.24,10.83
5,0.26,9.67
5,0.26,9.67
5,0.26,9.67
5,0.26,9.67
10,0.23,10.67
10,0.23,10.67
10,0.22,10.67
10,0.22,10.67
10,0.23,11.17
10,0.23,11.17
5,0.25,11
5,0.25,11
5,0.25,11
10,0.22,10.5
10,0.22,10.5
10,0.22,10.5
10,0.2,10.83
10,0.2,10.83
10,0.21,11.17
10,0.21,11.17
10,0.23,10.33
10,0.23,10.33
10,0.23,10.33
10,0.22,10.5
10,0.22,10.5
10,0.22,10.5
5,0.29,10.33
5,0.29,10.33
5,0.26,10.33
5,0.26,10.33
10,0.17,29.5
5,0.26,7.67
5,0.26,7.67
5,0.28,7.5
5,0.28,7.5
10,0.23,8.33
10,0.23,8.33
10,0.24,8.33
10,0.24,8.33
10,0.24,8.33
5,0.27,8.33
5,0.31,7.67
5,0.31,7.67
5,0.31,7.67
10,0.24,8
10,0.24,8
5,0.25,7.33
5,0.25,7.33
5,0.27,7.83
5,0.27,7.83
5,0.28,7.33
5,0.28,7.33
5,0.29,7.33
5,0.31,8
5,0.31,8
5,0.27,6.67
5,0.33,7.17
5,0.34,7.5
5,0.34,7.5
5,0.26,6.5
5,0.28,6
5,0.34,7.67
5,0.31,6.83
5,0.29,6.83
5,0.29,6.83
5,0.3,7.17
5,0.33,7
5,0.34,7.5
5,0.31,7.5
5,0.31,7.5
5,0.35,4
5,0.35,10.5
5,0.35,10.5
5,0.33,16.5
10,0.35,20
10,0.34,23.33
5,0.31,25
5,0.33,26
10,0.31,24.33
10,0.32,22.17
10,0.32,22.172
0,0.38,3.33
10,0.38,23.33
10,0.32,22.33
10,0.32,22.33
10,0.29,23.83
10,0.3,23.83
10,0.28,22.67
10,0.26,24.17
10,0.3,22.83
10,0.29,23.5
10,0.34,23.83
10,0.34,23.83
10,0.32,25
10,0.32,25
10,0.27,25.33
10,0.3,24.17
10,0.29,22.67
10,0.26,24
10,0.26,25.67
10,0.17,4.5
10,0.3,25.67
10,0.23,24.5
10,0.23,24.5
10,0.35,27
10,0.35,26
10,0.35,26
10,0.34,23.83
10,0.29,24.17
5,0.33,15.5
5,0.3,10.17
5,0.3,10.17
10,0.21,8.5
10,0.23,9
5,0.27,9.17
10,0.22,8.83
10,0.22,8.33
5,0.32,6.5
5,0.32,6.5
5,0.3,7
5,0.28,8.17
5,0.26,8.33
5,0.26,7.83
5,0.28,7.5
5,0.28,7.5
5,0.34,8.5
5,0.32,12.5
5,0.31,13
5,0.33,15.5
5,0.33,15.5
5,0.32,13
5,0.31,16.83
5,0.36,16.5
5,0.3,17.17
5,0.3,17.17
5,0.31,19.5
10,0.31,20.33
10,0.3,22.33
10,0.29,21.5
10,0.32,23.5
10,0.33,22.67
10,0.33,21.83
10,0.33,22.17
10,0.33,22.17
10,0.32,23
10,0.25,22.5
10,0.33,21.83
10,0.34,21.17
10,0.28,22.33
10,0.33,21
10,0.24,13
10,0.24,13
10,0.19,10.17
10,0.19,10.17
10,0.17,10.33
10,0.18,9.17
10,0.17,9.83
10,0.16,9.17
10,0.16,9.17
10,0.17,8.67
10,0.16,8.5
10,0.19,9
10,0.2,9.17
10,0.17,8.83
10,0.17,8.83
10,0.2,9.33
10,0.24,9
5,0.29,8.5
5,0.27,8.67
5,0.27,9.33
5,0.29,8.67
5,0.29,9
10,0.23,9.33
5,0.28,8.67
5,0.28,9.17
5,0.28,9.17
5,0.26,8.83
10,0.24,9.33
5,0.26,9.17
10,0.23,9.33
5,0.28,8.83
10,0.21,9.33
5,0.26,9.5
5,0.26,9.5
10,0.24,9.17
10,0.23,9
5,0.27,9.67
5,0.27,9.67
10,0.22,9
10,0.22,9
5,0.28,8.83
5,0.29,8.83
5,0.26,9.33
5,0.28,9
5,0.26,9.5
10,0.19,9
5,0.26,9.5
10,0.23,9.5
5,0.26,9.83
5,0.26,9.83
5,0.25,10
5,0.29,9.83
5,0.29,9.83
5,0.29,8.67
10,0.24,9.17
5,0.29,9.67
5,0.28,8.67
5,0.29,9.67
5,0.31,9
5,0.3,10.17
5,0.25,9.67
5,0.25,9.67
5,0.27,9.83
10,0.23,9.67
10,0.21,9.83
10,0.21,9.83
5,0.3,9.83
5,0.26,11.33
10,0.24,9.5
10,0.22,10.5
10,0.22,10.5
10,0.22,10.83
5,0.25,9
10,0.21,11
10,0.21,11
10,0.24,11
10,0.22,11.17
10,0.23,10.67
10,0.22,10.67
10,0.22,10.67
10,0.21,10
5,0.25,10.67
10,0.24,10
10,0.23,11
5,0.25,9.83
5,0.25,9.83
10,0.23,10.67
10,0.24,10.17
10,0.22,10.5
10,0.22,9.83
10,0.23,10.17
10,0.22,11.17
10,0.24,11
5,0.26,10.83
5,0.27,10.5
10,0.24,10.67
5,0.25,9.83
10,0.24,9.5
10,0.23,10.17
10,0.23,10.83
10,0.23,10.67
10,0.22,10.17
10,0.23,10.33
10,0.23,9.83
10,0.23,9.83
10,0.22,9.67
10,0.23,10.5
5,0.25,10
5,0.25,9.5
10,0.24,10.17
5,0.25,10.33
5,0.25,10.5
5,0.27,10.83
5,0.25,10.67
10,0.24,2.33
10,0.24,2.33
10,0.24,2.33
5,0.27,2.83
5,0.27,2.83
10,0.23,1.17
10,0.23,1.17
10,0.22,0.5
10,0.22,0.5
5,0.26,1.67
5,0.26,1.67
5,0.32,0.5
5,0.31,5.83
5,0.31,5.83
5,0.3,3.17
5,0.3,2.33
5,0.3,2.33
5,0.3,2.33
5,0.29,1.5
5,0.29,1.5
5,0.25,0.67
5,0.26,1.67
5,0.26,1.67
5,0.26,3.5
5,0.26,3.5
5,0.26,3
5,0.25,3.83
5,0.25,5
5,0.25,5
5,0.32,8.83
5,0.3,8.67
5,0.29,10.5
5,0.29,10.5
5,0.3,9.67
5,0.3,9.67
5,0.32,9.83
5,0.32,9.83
5,0.32,10.83
5,0.32,10.83
5,0.34,10.33
5,0.31,10.33
5,0.31,10.33
5,0.31,10.33
5,0.33,9.83
5,0.29,10.5
5,0.29,10.5
5,0.28,10.67
5,0.28,10.67
5,0.27,10.67
5,0.26,9.83
5,0.29,10.33
5,0.29,10.33
5,0.29,11.17
5,0.29,10.5
5,0.29,10.5
5,0.29,11
5,0.29,11.5
5,0.29,10.83
5,0.29,10.83
5,0.3,10
5,0.3,10
5,0.25,10
5,0.31,10.83
5,0.31,10.83
5,0.28,10.5
5,0.28,10.5
5,0.29,11
5,0.29,11
5,0.27,10.67
5,0.27,10.67
5,0.28,9.83
5,0.29,11.67
5,0.28,11
5,0.28,11
5,0.28,10.5
5,0.28,10.5
5,0.28,10.33
5,0.28,10.67
5,0.29,10.33
5,0.29,10.33
5,0.29,11
5,0.29,11
5,0.29,11
5,0.32,10.33
5,0.28,10.83
5,0.28,10.83
5,0.28,10
5,0.28,10.67
5,0.27,11.33
5,0.27,11.33
10,0.21,10.5
10,0.21,10.5
10,0.21,9.83
10,0.21,9.83
10,0.19,10.33
10,0.18,10.17
10,0.18,10.17
10,0.18,10.17
10,0.18,10.17
10,0.18,10.17
10,0.21,10.83
10,0.23,9.67
10,0.23,9.67
10,0.23,10.33
10,0.24,11
5,0.27,10.33
5,0.27,10.33
5,0.27,10.33
5,0.27,10.33
5,0.28,10.83
5,0.29,10.5
5,0.29,10.5
5,0.3,10.5
5,0.3,10.5
5,0.29,10.67
5,0.29,10
5,0.29,10.67
5,0.29,10.67
5,0.29,10.67
5,0.3,10.67
5,0.28,10.33
5,0.25,11
5,0.25,11
5,0.3,10
5,0.3,11.17
5,0.3,11.17
5,0.3,11.17
5,0.28,10.83
5,0.28,10.83
5,0.28,10.83
5,0.28,10.83
5,0.3,11.17
5,0.29,11
5,0.28,10.5
5,0.28,10.5
5,0.28,10.67
5,0.28,10.67
5,0.28,10.17
5,0.28,10.17
5,0.27,11.17
5,0.27,11.17
5,0.28,10.5
5,0.28,10.5
5,0.28,9.83
5,0.28,9.83
5,0.29,10.67
5,0.28,11
5,0.28,10.33
5,0.28,11.17
5,0.28,11.17
5,0.29,11.33
5,0.27,11.33
5,0.27,11.33
5,0.28,11.33
5,0.29,10.33
5,0.29,10.83
5,0.29,10.33
5,0.25,10.33
5,0.26,10.33
5,0.26,10.17
5,0.28,10.17
5,0.28,9.83
5,0.28,9.83
5,0.28,9.33
5,0.27,9.33
5,0.27,9.33
5,0.28,8.83
5,0.28,9.67
5,0.28,9.67
5,0.25,10.17
5,0.25,10.17
10,0.22,9.33
10,0.22,9.33
10,0.21,8.5
10,0.21,8.5
10,0.19,9
10,0.19,9
10,0.19,9
10,0.2,8.33
10,0.23,9.33
10,0.23,9.33
10,0.19,10.33
10,0.19,10.33
10,0.19,10.33
10,0.2,9.67
10,0.2,9.67
10,0.22,9.17
10,0.22,9.17
10,0.22,8.83
10,0.22,8.83
10,0.22,8.83
10,0.2,9.17
10,0.2,8.83
10,0.23,8.5
10,0.23,8.5
10,0.23,8.5
5,0.27,9.33
5,0.27,9.33
10,0.22,9.67
10,0.22,9.67
10,0.24,9.17
10,0.24,9.17
10,0.24,9.17
5,0.27,9.67
5,0.27,9.67
5,0.25,8.33
5,0.25,8.33
5,0.26,9.33
5,0.26,9.33
5,0.29,10.83
5,0.29,10.83
10,0.23,14.83
10,0.23,14.83
5,0.26,14.33
5,0.26,14.33
10,0.23,14.67
10,0.23,14.67
10,0.23,14.67
5,0.26,15.83
5,0.26,15.83
5,0.26,15.67
5,0.26,15.67
5,0.25,15.83
5,0.25,15.83
5,0.25,15.83
5,0.32,15.83
5,0.32,15.83
5,0.27,16.33
5,0.27,16.33
5,0.26,12.5
5,0.26,12.5
5,0.29,15.83
5,0.29,15.83
5,0.28,15.5
5,0.28,15.5
5,0.28,15.5
5,0.29,11.67
5,0.29,11.67
5,0.33,8.17
5,0.33,8.17
5,0.32,11.83
5,0.32,11.83
5,0.27,13.83
5,0.28,14.33
5,0.28,14.33
5,0.28,14.33
0,0.36,11.67
0,0.36,11.67
5,0.34,11.5
5,0.34,11.5
0,0.37,13.67
0,0.37,13.67
0,0.36,11.33
0,0.36,11.33
5,0.34,14.5
5,0.34,14.5
5,0.34,14.5
5,0.27,15.83
5,0.27,15.83
5,0.27,15.83
5,0.33,16
5,0.33,16
5,0.26,14
5,0.26,14
5,0.25,14.33
5,0.25,14.33
5,0.35,12.83
5,0.35,12.83
5,0.34,12
5,0.34,12
5,0.34,12
5,0.32,12.83
5,0.32,12.83
10,0.21,15.17
10,0.21,15.17
5,0.3,12.17
5,0.3,12.17
5,0.3,12.17
5,0.31,13.5
5,0.31,13.5
5,0.26,12.67
5,0.26,12.67
5,0.27,14.83
5,0.27,14.83
5,0.28,12.17
5,0.28,12.17
5,0.26,13.67
5,0.26,13.67
10,0.24,13.67
10,0.24,14.83
10,0.25,14.83
5,0.25,12.17
5,0.29,12.17
5,0.29,11.17
5,0.29,11.17
5,0.35,11.17
5,0.35,12.5
5,0.35,12.5
5,0.33,12.5
5,0.33,13.67
5,0.31,13.67
5,0.28,14
5,0.28,15
5,0.34,2.5
10,0.24,8.83
10,0.24,8.83
10,0.21,9.17
10,0.21,9.17
10,0.21,9.17
5,0.26,6.5
5,0.26,6.5
5,0.26,6.5
5,0.26,6.5
10,0.24,6.67
10,0.24,6.67
10,0.24,6.67
10,0.24,6.67
10,0.21,9.17
10,0.21,9.17
10,0.21,9.17
5,0.3,3.33
5,0.29,9.33
5,0.3,3.33
5,0.29,9.33
5,0.33,9.5
5,0.33,9.5
5,0.33,9.5
5,0.33,9.5
5,0.3,9.33
5,0.3,9.33
5,0.3,9.33
5,0.29,12
5,0.29,12
5,0.29,12
5,0.31,11.67
5,0.31,11.67
5,0.29,12.17
5,0.29,12.17
5,0.29,12.17
5,0.3,16.83
5,0.3,16.83
5,0.3,16.83
5,0.3,16.83
5,0.28,16.67
5,0.28,16.67
10,0.29,20.67
10,0.29,20.67
10,0.29,20.67
10,0.29,20.67
10,0.29,21
10,0.29,21
10,0.31,20.67
10,0.31,20.67
10,0.31,20.67
5,0.32,19.17
5,0.32,19.17
10,0.34,21.33
10,0.34,22.67
10,0.34,22.67
10,0.34,22.67
10,0.37,21.67
10,0.37,21.67
10,0.37,21.67
10,0.38,22.33
10,0.38,22.33
10,0.38,22.33
10,0.38,22.33
10,0.38,22.33
10,0.34,23.5
10,0.34,23.5
10,0.33,22.67
10,0.33,22.67
10,0.33,22.67
10,0.32,23
10,0.32,23
10,0.32,23
10,0.32,23
10,0.33,23.5
10,0.33,23.5
10,0.33,22.67
10,0.33,22.67
10,0.33,22.67
10,0.36,23.83
10,0.36,23.83
10,0.36,23.83
10,0.33,24.5
10,0.33,24.5
10,0.35,22.83
10,0.35,22.83
10,0.22,25.5
10,0.22,25.5
10,0.22,25.5
10,0.23,25.5
10,0.23,25.5
10,0.23,25.5
10,0.24,23
10,0.24,23
10,0.22,23
10,0.22,23
10,0.22,23
10,0.26,24.67
10,0.26,24.67
10,0.26,24.67
10,0.17,26.17
10,0.17,26.17
10,0.2,25.33
10,0.2,25.33
10,0.2,25.33
10,0.16,26.5
10,0.16,26.5
10,0.16,26.5
10,0.11,24.17
10,0.11,24.17
10,0.11,24.17
10,0.11,24.17
10,0.15,25.67
5,0.25,7.67
10,0.15,25.67
5,0.25,7.67
10,0.17,27.5
10,0.15,27.33
5,0.27,6.83
10,0.15,27.33
5,0.27,6.83
10,0.15,27.33
5,0.27,6.83
10,0.12,28.17
10,0.12,28.17
10,0.14,28.5
10,0.14,28.5
10,0.21,5.67
10,0.12,28.33
10,0.21,5.67
10,0.12,28.33
10,0.21,5.67
10,0.12,28.33
5,0.27,6.5
10,0.1,25.17
5,0.27,6.5
10,0.1,25.17
5,0.27,6.5
10,0.1,25.17
5,0.31,7
10,0.13,24.83
5,0.31,7
10,0.13,24.83
10,0.1,26.83
10,0.1,26.83
10,0.1,26.83
10,0.23,8
10,0.12,26.17
10,0.23,8
10,0.12,26.17
5,0.28,5.17
10,0.14,27.33
5,0.28,5.17
10,0.14,27.33
10,0.1,24.33
5,0.25,7
5,0.25,7
10,0.1,24.33
5,0.3,4.83
10,0.1,30.5
5,0.3,4.83
10,0.1,30.5
10,0.12,27
5,0.25,5.17
10,0.12,27
5,0.25,5.17
10,0.22,5.67
10,0.11,27.67
10,0.22,5.67
10,0.11,27.67
10,0.23,5.67
10,0.2,8.17
10,0.22,6.83
10,0.22,6.83
10,0.22,7.17
10,0.22,7.17
10,0.22,7.17
10,0.22,7
10,0.22,7
10,0.23,7.17
10,0.23,7.17
5,0.25,7.67
5,0.25,7.67
5,0.25,6.83
5,0.25,6.83
5,0.25,7.83
5,0.25,7.83
5,0.28,7.83
5,0.28,7.83
5,0.28,8.17
5,0.28,8.17
5,0.3,8.33
5,0.3,8.33
5,0.3,8.33
5,0.32,8.17
5,0.34,8
5,0.34,8
5,0.32,8
5,0.32,8
5,0.3,8.17
5,0.3,8.17
5,0.31,8.67
5,0.31,8.67
5,0.31,8.67
5,0.32,6
5,0.32,6
5,0.32,6
5,0.31,7.83
5,0.31,7.83
5,0.31,8
5,0.31,8
5,0.31,8
5,0.31,8
5,0.35,8.83
5,0.35,8.83
5,0.33,7.5
5,0.33,7.5
5,0.33,7.5
5,0.34,7.17
5,0.34,7.17
5,0.34,7.17
5,0.32,8.5
5,0.32,8.5
0,0.36,8.5
0,0.36,8.5
0,0.36,8.5
0,0.36,8.5
5,0.32,8.33
5,0.32,8.33
5,0.32,8.33
5,0.32,8.33
5,0.33,9
5,0.33,9
5,0.34,8.17
5,0.34,8.17
5,0.34,8.17
5,0.33,9.33
5,0.33,9.33
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,9
5,0.33,9
5,0.33,9
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
0,0.36,9
0,0.36,9
5,0.35,7.33
5,0.35,7.33
5,0.35,7.33
5,0.35,7.33
5,0.35,7.33
5,0.35,8.67
5,0.35,8.67
5,0.34,8.5
5,0.34,8.5
5,0.34,8.5
5,0.35,8.33
5,0.35,8.33
5,0.32,8.83
5,0.32,8.83
5,0.32,8.83
5,0.32,8.83
5,0.34,9.17
5,0.34,9.17
5,0.34,8.83
5,0.34,8.83
5,0.34,8.83
5,0.34,8.5
5,0.34,8.5
5,0.33,8.5
5,0.33,8.5
5,0.32,7.83
5,0.32,7.83
5,0.32,7.83
5,0.32,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.35,9
5,0.35,9
5,0.32,8.33
5,0.32,8.33
5,0.32,8.33
5,0.32,8.33
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,8.67
5,0.33,9.33
5,0.33,9.33
5,0.33,9.33
5,0.33,9.33
5,0.33,9.33
5,0.32,9
5,0.32,9
5,0.32,9
5,0.33,8.5
5,0.33,8.5
5,0.33,9.67
5,0.33,9.67
5,0.33,7.17
5,0.33,7.17
5,0.33,7.17
5,0.31,8.67
5,0.31,8.67
5,0.31,8.33
5,0.31,8.33
5,0.31,8.33
5,0.34,8.83
5,0.34,8.83
5,0.34,8.83
5,0.33,8.17
5,0.33,8.17
5,0.33,8.83
5,0.33,8.83
5,0.33,8.83
5,0.32,8
5,0.32,8
5,0.31,8.33
5,0.31,8.33
5,0.31,8.33
5,0.31,7.33
5,0.31,7.33
5,0.31,7.33
5,0.31,7.33
5,0.3,9
5,0.3,9
5,0.32,8.83
5,0.32,8.83
5,0.33,8.17
5,0.33,8.17
5,0.33,8.17
5,0.32,8.17
5,0.32,8.17
5,0.32,8.17
5,0.32,8.83
5,0.32,8.83
5,0.33,9.33
5,0.33,9.33
5,0.33,9.33
5,0.32,7.5
5,0.32,7.5
5,0.32,7.5
5,0.3,8.17
5,0.3,8.17
5,0.3,8.17
5,0.31,8.83
5,0.31,8.83
5,0.3,8.17
5,0.3,8.17
5,0.3,8.17
5,0.3,8.17
5,0.32,9
5,0.32,9
5,0.33,7.33
5,0.33,7.33
5,0.3,8.17
5,0.3,8.17
5,0.3,8.17
5,0.3,8.17
5,0.3,8.33
5,0.3,8.33
10,0.21,12.67
10,0.21,12.67
10,0.21,12.67
10,0.18,15.33
10,0.18,15.33
10,0.18,15.33
10,0.22,13
10,0.22,13
10,0.22,13
10,0.19,15.67
10,0.19,15.67
10,0.21,15
10,0.21,15
10,0.2,16.5
10,0.2,16.5
10,0.24,12.5
10,0.24,12.5
10,0.24,15.83
10,0.24,15.83
5,0.25,16.5
5,0.25,16.5
10,0.2,14.67
10,0.2,14.67
10,0.2,14.67
10,0.23,15.5
10,0.23,15.5
10,0.23,15.5
10,0.2,10.67
10,0.2,10.67
10,0.2,7.67
10,0.19,14.33
10,0.19,14.33
10,0.21,9
10,0.21,9
5,0.26,10.17
5,0.26,10.17
10,0.22,7
10,0.22,7
10,0.2,9.33
10,0.2,9.33
10,0.2,9.33
10,0.22,8.5
10,0.22,8.5
10,0.22,8.5
10,0.22,9.5
10,0.22,9.5
10,0.22,6.83
10,0.22,6.83
10,0.22,8
10,0.22,8
10,0.22,11.33
10,0.22,11.33
5,0.32,10.17
5,0.32,10.17
5,0.25,9
5,0.25,9
5,0.33,8.17
5,0.33,8.17
5,0.28,9.17
5,0.28,9.17
10,0.22,11.17
10,0.22,11.17
5,0.28,10.33
5,0.28,10.33
5,0.28,10.33
10,0.23,8.5
10,0.23,8.5
10,0.23,8.5
10,0.24,12
10,0.24,12
5,0.31,13
5,0.31,13
5,0.3,8.33
5,0.3,8.33
10,0.23,12.67
10,0.23,12.67
10,0.24,11.83
10,0.24,11.83
10,0.23,13.17
10,0.23,13.17
10,0.23,13.17
5,0.32,13.33
5,0.32,13.33
5,0.28,10.83
5,0.28,10.83
5,0.29,13.5
5,0.29,13.5
0,0.36,13.67
0,0.36,13.67
5,0.33,11.67
5,0.33,11.67
10,0.24,14.17
10,0.24,14.17
